,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
1424,Exhale,89.0,0.2726525806750699,0.2096832811129136,0.4850752136817284,1.2635726764943644,0.6129277860528973,6,4,hbo,False,S6_D4 hbo,NDARVX753BR6
1425,Inhale,89.0,0.2726525806750699,0.030644560828696876,0.43420773839700005,2.196640999621502,0.9537985205157777,6,4,hbo,True,S6_D4 hbo,NDARVX753BR6
1429,control,89.0,0.2726525806750699,0.8519287582075296,0.370450196709966,0.18720149157584687,0.06934882937867151,6,4,hbo,False,S6_D4 hbo,NDARVX753BR6
1508,ild_0__itd_50,89.0,0.2726525806750699,0.06610545198996853,0.5609263838920153,1.8605815570712168,1.043649284744133,6,4,hbo,False,S6_D4 hbo,NDARVX753BR6
1509,ild_0__itd_500,89.0,0.2726525806750699,0.1505893775253034,0.48546629117298407,1.4499429457461899,0.7038984242838341,6,4,hbo,False,S6_D4 hbo,NDARVX753BR6
1510,ild_10__itd_0,89.0,0.2726525806750699,0.07555614849695975,0.49226504576448576,1.7980730204842788,0.8851284977165806,6,4,hbo,False,S6_D4 hbo,NDARVX753BR6
1511,ild_70n__itd_0,89.0,0.2726525806750699,1.2701530891885833e-05,0.6888836056752425,4.623744738058621,3.1852219468757523,6,4,hbo,True,S6_D4 hbo,NDARVX753BR6
1602,Exhale,89.0,0.5127064691451384,0.07894671152676376,0.665179223709257,1.777229837666943,1.182176363772226,6,5,hbo,False,S6_D5 hbo,NDARVX753BR6
1603,Inhale,89.0,0.5127064691451384,0.5282146959822502,0.5954251180209251,0.6332186175034488,0.37703427006003803,6,5,hbo,False,S6_D5 hbo,NDARVX753BR6
1607,control,89.0,0.5127064691451384,0.032508379324728096,0.5079949816445519,2.172078733559717,1.10340509638519,6,5,hbo,True,S6_D5 hbo,NDARVX753BR6
1686,ild_0__itd_50,89.0,0.5127064691451384,0.00011627805326489589,0.769193242762026,4.032465448017729,3.101745174286583,6,5,hbo,True,S6_D5 hbo,NDARVX753BR6
1687,ild_0__itd_500,89.0,0.5127064691451384,0.00013045586879665316,0.6657155047120918,4.00039199459309,2.6631229757267505,6,5,hbo,True,S6_D5 hbo,NDARVX753BR6
1688,ild_10__itd_0,89.0,0.5127064691451384,0.007283579353367114,0.6750385749779169,2.746772921621212,1.854177678799112,6,5,hbo,True,S6_D5 hbo,NDARVX753BR6
1689,ild_70n__itd_0,89.0,0.5127064691451384,2.6149307940700988e-05,0.9446598158893974,4.435843627837208,4.190363224786854,6,5,hbo,True,S6_D5 hbo,NDARVX753BR6
1780,Exhale,89.0,0.38551778721703256,0.0038639316865432542,0.5768016414291897,2.966790037856785,1.7112493636115613,7,6,hbo,True,S7_D6 hbo,NDARVX753BR6
1781,Inhale,89.0,0.38551778721703256,0.3405195075104759,0.516315262385215,-0.9582761633234874,-0.49477260870386347,7,6,hbo,False,S7_D6 hbo,NDARVX753BR6
1785,control,89.0,0.38551778721703256,4.130020997782847e-05,0.44050133979897327,4.314604025990381,1.9005888541508065,7,6,hbo,True,S7_D6 hbo,NDARVX753BR6
1864,ild_0__itd_50,89.0,0.38551778721703256,0.0004141326681776159,0.6669960654022205,3.6691508156384596,2.4473091573982004,7,6,hbo,True,S7_D6 hbo,NDARVX753BR6
1865,ild_0__itd_500,89.0,0.38551778721703256,0.019930588833420436,0.5772666706298577,2.3703483620540227,1.3683231071958621,7,6,hbo,True,S7_D6 hbo,NDARVX753BR6
1866,ild_10__itd_0,89.0,0.38551778721703256,3.1965151710092286e-05,0.5853510515618123,4.382803958295585,2.5654789057775944,7,6,hbo,True,S7_D6 hbo,NDARVX753BR6
1867,ild_70n__itd_0,89.0,0.38551778721703256,1.8810132102842002e-08,0.8191496561765174,6.1808885334262245,5.063072717021471,7,6,hbo,True,S7_D6 hbo,NDARVX753BR6
1958,Exhale,89.0,0.7698602623879603,0.03173039652664367,0.8150987535562808,2.182178060704162,1.7786906173178247,7,7,hbo,True,S7_D7 hbo,NDARVX753BR6
1959,Inhale,89.0,0.7698602623879603,0.11112505976660944,0.729623316898861,-1.609150431057514,-1.1740736748974152,7,7,hbo,False,S7_D7 hbo,NDARVX753BR6
1963,control,89.0,0.7698602623879603,0.011446580902412589,0.6224879875867922,2.582333212480928,1.6074714047157892,7,7,hbo,True,S7_D7 hbo,NDARVX753BR6
2042,ild_0__itd_50,89.0,0.7698602623879603,0.03253562930367442,0.9425556768340719,2.1717288227742864,2.04697533045008,7,7,hbo,True,S7_D7 hbo,NDARVX753BR6
2043,ild_0__itd_500,89.0,0.7698602623879603,0.0432952060948427,0.8157559027295956,2.0501170687163417,1.6723951000920518,7,7,hbo,True,S7_D7 hbo,NDARVX753BR6
2044,ild_10__itd_0,89.0,0.7698602623879603,0.01850952897260851,0.8271802267044422,2.3993516796811902,1.9846962663423713,7,7,hbo,True,S7_D7 hbo,NDARVX753BR6
2045,ild_70n__itd_0,89.0,0.7698602623879603,0.001479894755848574,1.15756928512053,3.280620174659615,3.7975451503327187,7,7,hbo,True,S7_D7 hbo,NDARVX753BR6
2136,Exhale,89.0,0.6567038074605345,0.18417095395272112,0.7528163530120219,1.338413262218641,1.0075793908863604,8,6,hbo,False,S8_D6 hbo,NDARVX753BR6
2137,Inhale,89.0,0.6567038074605345,0.5879931075873479,0.6738721683769684,-0.5437207170344434,-0.3663982585794804,8,6,hbo,False,S8_D6 hbo,NDARVX753BR6
2141,control,89.0,0.6567038074605345,0.7144931904347014,0.5749231422134968,-0.3669959467769413,-0.21099446290061635,8,6,hbo,False,S8_D6 hbo,NDARVX753BR6
2220,ild_0__itd_50,89.0,0.6567038074605345,0.2538663750276501,0.8705341825749823,1.148434969280194,0.9997518972228587,8,6,hbo,False,S8_D6 hbo,NDARVX753BR6
2221,ild_0__itd_500,89.0,0.6567038074605345,0.5199488520482258,0.7534232888487916,0.6459887219080253,0.4867029474191718,8,6,hbo,False,S8_D6 hbo,NDARVX753BR6
2222,ild_10__itd_0,89.0,0.6567038074605345,0.02562404151869356,0.76397467035054,2.2699749691323086,1.7342033787468327,8,6,hbo,True,S8_D6 hbo,NDARVX753BR6
2223,ild_70n__itd_0,89.0,0.6567038074605345,0.0003971695113595367,1.0691184151381476,3.6814615776926103,3.935918367334708,8,6,hbo,True,S8_D6 hbo,NDARVX753BR6
2314,Exhale,89.0,0.4300571888335533,0.058494253801025645,0.6092105045094872,1.9166261091127312,1.1676287588886225,8,7,hbo,False,S8_D7 hbo,NDARVX753BR6
2315,Inhale,89.0,0.4300571888335533,0.7792352859747931,0.5453255658293056,-0.2811665690086081,-0.1533273183369037,8,7,hbo,False,S8_D7 hbo,NDARVX753BR6
2319,control,89.0,0.4300571888335533,0.7518955283522025,0.46525187201462254,0.3171196553738758,0.14754051331532766,8,7,hbo,False,S8_D7 hbo,NDARVX753BR6
