,time,condition,epoch,S1_D1 hbo,S1_D1 hbr,S1_D2 hbo,S1_D2 hbr,S2_D1 hbo,S2_D1 hbr,S2_D2 hbo,S2_D2 hbr,S3_D3 hbo,S3_D3 hbr,S4_D3 hbo,S4_D3 hbr,S5_D4 hbo,S5_D4 hbr,S5_D5 hbo,S5_D5 hbr,S6_D4 hbo,S6_D4 hbr,S6_D5 hbo,S6_D5 hbr,S7_D6 hbo,S7_D6 hbr,S7_D7 hbo,S7_D7 hbr,S8_D6 hbo,S8_D6 hbr,S8_D7 hbo,S8_D7 hbr
2781,3.3333333333333335,control,53,2686721.2797167823,-307891.86915604316,-1194574.445255619,681443.4855429908,6210490.302128341,1066080.311807475,4696556.047016485,1263889.4761534,-3688327.4955758606,2090839.0975372004,203276.55102650265,399699.9897495516,6791950.038103948,-3806575.8909986485,2403138.4744040472,-909409.7241241776,1922370.327930202,132583.95399812018,-48013.01215431473,1491943.4199944197,2996244.1204203703,-1133856.233414059,8424318.071143817,423063.08384307433,-2994779.845661614,1133302.1139912342,-2470274.2181058708,934815.6251194939
2782,3.6666666666666665,control,53,3039328.450688514,-136787.54937550254,-1254267.2755445137,925720.1095055864,7137433.736871575,1131902.4752512502,5613083.192943997,1460991.2527784084,-3767356.360164104,2414306.85424931,566827.5305547041,573556.6306374129,7683979.259656843,-3508265.0626229993,3425448.559494293,-1296278.2888588167,2749078.176692438,100629.01098962406,664727.3597041592,1463039.6450106243,3926246.5692044976,-1485793.202253659,10217828.830975743,231708.6925790312,-3112878.4671773743,1177993.6854325035,-2567689.051569121,971679.9164489338
2783,4.0,control,53,2670661.8999833036,-263903.18941026065,-1636371.459953077,1016057.6843362253,7589631.781165142,1132839.686885842,5891333.837338939,1535740.7065900334,-3649356.1549771484,1956613.851978493,223953.04291488926,641940.0160629592,6346268.352262845,-2604330.264310814,2800521.458287752,-1059789.7182836651,2795848.8236932904,46261.40729371114,421479.7516428353,1371560.932876723,3432412.139717018,-1298913.4876360465,9897972.54942794,448217.7086581175,-3196936.6409795936,1209803.4714527687,-2637025.2800286156,997918.5377630042
2784,4.333333333333333,control,53,1994651.0105402141,-464671.2082213272,-2031770.240352638,1119050.0038676136,8050053.257753554,1123612.867299962,5871115.236361628,1571427.8530185947,-3471997.187929733,1770820.3318908764,-123453.56335761747,729077.1599466396,5225762.809150038,-2380578.1729933852,1835270.6955425816,-694513.8762095108,2809025.5182728795,50629.691736064684,203113.68745434994,1335007.3207658867,2452151.244342156,-927957.4233361527,8985994.76785159,840741.6140360042,-3378739.429752072,1278602.3466501653,-2786987.1353332684,1054667.980591336
2785,4.666666666666667,control,53,1800105.295418362,-355416.4939314803,-2231986.927941388,1438326.991717087,8897434.699292095,1135983.735675685,6310442.177213426,1664162.2117817777,-3805811.352264736,2307756.0737080453,154079.18966169687,855815.627785299,5149172.516237823,-2358130.823333928,1173519.1283468055,-444089.97572600096,3306716.3588963514,91428.62122560291,618792.5724007529,1341630.6393144038,2694346.826382869,-1019610.4927675202,9825509.73692884,866962.2785097879,-3531073.9748299983,1336249.6766269593,-2912641.814016254,1102218.9594022199
2786,5.0,control,53,2265316.026115422,-148601.82761999485,-2360822.815351861,1597017.0224947985,9055680.205171496,1107539.7975716037,6445371.602791856,1711323.1114391333,-4103648.9625232574,2418731.3431425677,174374.6952039138,863035.3279314744,5422276.790122432,-2261883.5169049604,1210097.218210859,-457932.07053933037,3374305.6178302714,68667.98627968934,701594.2222879175,1315636.2858189764,3548369.9782800283,-1342794.9314649473,11061440.763906732,537160.8600177042,-3401752.438329891,1287311.0640232705,-2805969.6464695022,1061851.4535370076
2787,5.333333333333333,control,53,3058619.725429789,3498.3853565302425,-2134932.9781742957,1497696.922509636,8837245.32404654,1068061.1509356734,6207796.509912007,1764303.8956049497,-3682588.179490004,2154489.043086435,123586.27576401559,836865.5148832953,5609531.452795667,-2254846.581817165,2417346.776689617,-914786.5130189577,3292011.64091881,43452.09651279075,789801.754872213,1331534.3997023609,4362587.380678422,-1650915.8455025165,12171447.559978794,133042.09672242528,-3231204.746259432,1222771.4083822137,-2665291.670661222,1008615.2707149232
2788,5.666666666666667,control,53,2742018.020537184,61625.22355213031,-1879099.6846003507,1568912.946285155,9485749.005117571,1095857.8841246376,6257108.8821918415,1860364.9214890643,-3521809.2088255337,2307259.9978095987,453929.67990711663,878444.7214261302,5507688.447530119,-2090398.2401666692,3515464.2065457846,-1330342.536767901,3499385.5321169905,17304.616575146923,1178572.2713373613,1304892.0386731557,4203069.9619439505,-1590550.3304440067,12579026.407451427,238474.78174635945,-3416461.0049846615,1292877.1658880808,-2818102.1553232702,1066442.7085342351
2789,6.0,control,53,647630.3537226116,-150943.69866660063,-2356014.0567226736,1772878.398223028,10077466.875006238,1133077.4120523825,5969100.743106845,1776473.1868501734,-3953420.77396681,2266667.199414367,179588.41543862113,824886.610545851,4791951.92783547,-1736330.9239094146,2949587.869368741,-1116200.3018689346,2906179.1575395525,-95934.92537258899,682804.9491840672,1105503.9048675231,1931545.6817662818,-730946.8198764236,10169070.275475014,1123852.9654230291,-3788036.9011308863,1433491.0908885251,-3124600.2632390535,1182429.5160915474
2790,6.333333333333333,control,53,-541388.9731694412,-260725.25931247548,-2672625.4855527575,1777718.441676655,9768664.721175097,1098100.537382392,5438453.3176294165,1582751.5947362795,-3468695.16568887,1864401.1116596146,-279336.30552016385,731056.6542476107,3661155.0788567443,-1565029.5270768434,1884907.7300176215,-713297.8132606149,1862857.519874656,-167872.0975745259,20104.08743816533,974611.1720079767,413707.0179143785,-156557.43064204918,8127910.086959219,1606307.5354017322,-3936963.5530216787,1489848.7859831983,-3247443.907017275,1228916.7266242097
2791,6.666666666666667,control,53,1156551.4412268086,124858.01379291645,-1736517.376013067,1658925.2915413496,9634753.778109737,1028722.2290669371,5838855.709022571,1634201.0232736247,-2089249.4480321773,1977273.5532340107,476762.2330980298,799080.1318691825,2622360.8761048424,-1807093.5959060339,1638274.3955773723,-619965.3835974608,1858229.5864823237,-116650.27806033602,689483.3090070408,1039918.9635024315,2675008.7062194864,-1012292.4481728461,10808469.960287238,795042.387371617,-3781725.298285843,1431102.6172057856,-3119394.0742747393,1180459.3595981938
2792,7.0,control,53,2985471.8329335395,308829.4375145253,-735259.3256282037,1468550.1883790132,9507936.885787742,963008.087438487,6228331.653082101,1786216.6764506178,-1446421.866625603,2095384.6723757312,1146375.4306525611,838678.8877692603,1762810.1107130717,-2398003.794892172,1216703.8719042803,-460432.19909068453,1859527.2250283093,-143823.65369921506,1067673.2063166627,1001545.0752094373,4955743.806719877,-1875381.571266655,13213495.796588408,21112.140158856237,-3441451.6404436845,1302334.268398212,-2838715.931844419,1074243.494472675
2793,7.333333333333333,control,53,2562714.5911706076,-164374.92607014842,-711484.5283832724,1141434.6590280363,8325656.63111393,885553.836797123,5338783.700570057,1686138.7232229363,-1258565.9005371656,1412052.9536148151,439469.38475102646,697800.5651175529,1164610.827115263,-2774643.1811904805,566096.3002412937,-214225.47460891563,650469.3285280503,-272396.86616359395,-78054.80394465972,841667.3339731043,3659152.7607245576,-1384718.000274189,10401750.156319104,363498.7283698723,-3083661.7453563507,1166937.3225911336,-2543589.3452896792,962559.9645724619
2794,7.666666666666667,control,53,1815925.4684917163,-468136.3659546748,-653009.5887021851,952551.7921539339,7175516.56750472,806171.1827639933,4621832.408450669,1512511.05523456,-308269.67439990916,826137.4412437178,82166.03072598683,648622.1669781354,1282956.8063674492,-2516938.623323778,1245483.9287024604,-471323.3165988443,-325921.07711865794,-306601.0314903692,-791174.846715385,862421.8294001456,2247422.766779325,-850482.8748306021,7612648.71397056,739665.8239383374,-2879001.4114132314,1089488.5613929124,-2374773.214400786,898675.5764464511
2795,8.0,control,53,2178250.716941483,-218152.1342751327,-177844.43574276502,1053941.5064510396,7125570.932028288,729680.7114448511,5057978.118486294,1503150.1458685955,834034.7215959219,876853.049589398,848350.8970727351,760556.8006259494,1768686.4204775584,-2294518.8720115772,2436787.3069131365,-922143.3122278673,-378998.3352696584,-292250.9313816796,-479005.7139484153,972364.540942655,3221134.5843086666,-1218960.598768423,8490018.985501058,436434.2681808484,-2771119.9067556355,1048663.41110144,-2285786.07234018,865000.5414146057
