,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
17729,Hold,66.0,0.015609132729043136,2.0427978565184795e-09,0.22552876237256772,6.9433090084095035,1.5659158874368957,7,6,hbo,True,S7_D6 hbo,NDARLM531OY3
17730,Inhale,66.0,0.015609132729043136,3.2675318099659517e-15,0.10507096714240327,-10.209094255664372,-1.0726794070906092,7,6,hbo,True,S7_D6 hbo,NDARLM531OY3
17734,control,66.0,0.015609132729043136,0.0011044434447890121,0.09939859874655589,3.4123161478496393,0.3391794435764996,7,6,hbo,True,S7_D6 hbo,NDARLM531OY3
17792,noise,66.0,0.015609132729043136,9.633445714666268e-07,0.06203401646834075,-5.403627491776829,-0.33520871681366265,7,6,hbo,True,S7_D6 hbo,NDARLM531OY3
17793,speech,66.0,0.015609132729043136,1.682971008986245e-08,0.062155676684939556,-6.424940010495432,-0.3993464940124863,7,6,hbo,True,S7_D6 hbo,NDARLM531OY3
17860,Exhale,66.0,0.019027042312637066,6.572013815192229e-12,0.11676030875662717,8.338278459497635,0.9735799674296776,7,7,hbo,True,S7_D7 hbo,NDARLM531OY3
17861,Hold,66.0,0.019027042312637066,1.596582317611917e-10,0.24899933764928345,7.563988939733193,1.883428235980071,7,7,hbo,True,S7_D7 hbo,NDARLM531OY3
17862,Inhale,66.0,0.019027042312637066,2.012234417869161e-19,0.11600560810690785,-12.722696993091894,-1.475904201443553,7,7,hbo,True,S7_D7 hbo,NDARLM531OY3
17866,control,66.0,0.019027042312637066,0.0010000040391706369,0.10974292143843116,3.4441341082360397,0.37796933886356887,7,7,hbo,True,S7_D7 hbo,NDARLM531OY3
17924,noise,66.0,0.019027042312637066,1.9519707552385183e-08,0.06848984071851767,-6.3882343193442575,-0.43752915100445633,7,7,hbo,True,S7_D7 hbo,NDARLM531OY3
